Fecha Notificación;Total Diario;Total Acumulado
25/02/2020;2;2
26/02/2020;6;8
27/02/2020;5;13
28/02/2020;13;26
29/02/2020;11;37
01/03/2020;26;63
02/03/2020;47;110
03/03/2020;51;161
04/03/2020;68;229
05/03/2020;126;355
06/03/2020;212;567
07/03/2020;246;813
08/03/2020;288;1101
09/03/2020;542;1643
10/03/2020;756;2399
11/03/2020;827;3226
12/03/2020;850;4076
13/03/2020;1029;5105
14/03/2020;955;6060
15/03/2020;847;6907
16/03/2020;1315;8222
17/03/2020;2027;10249
18/03/2020;1832;12081
19/03/2020;2126;14207
20/03/2020;2422;16629
21/03/2020;1728;18357
22/03/2020;1546;19903
23/03/2020;2813;22716
24/03/2020;3012;25728
25/03/2020;3098;28826
26/03/2020;3510;32336
27/03/2020;2504;34840
28/03/2020;1085;35925
29/03/2020;903;36828
30/03/2020;2667;39495
31/03/2020;1942;41437
01/04/2020;1917;43354
02/04/2020;1953;45307
03/04/2020;1897;47204
04/04/2020;953;48157
05/04/2020;583;48740
06/04/2020;1753;50493
07/04/2020;1596;52089
08/04/2020;1608;53697
09/04/2020;1108;54805
10/04/2020;1008;55813
11/04/2020;624;56437
12/04/2020;408;56845
13/04/2020;1221;58066
14/04/2020;1364;59430
15/04/2020;1155;60585
16/04/2020;1067;61652
17/04/2020;1084;62736
18/04/2020;614;63350
19/04/2020;271;63621
20/04/2020;878;64499
21/04/2020;934;65433
22/04/2020;1005;66438
23/04/2020;771;67209
24/04/2020;962;68171
25/04/2020;412;68583
26/04/2020;224;68807
27/04/2020;995;69802
28/04/2020;956;70758
29/04/2020;904;71662
30/04/2020;711;72373
01/05/2020;308;72681
02/05/2020;201;72882
03/05/2020;202;73084
04/05/2020;789;73873
05/05/2020;790;74663
06/05/2020;741;75404
07/05/2020;632;76036
08/05/2020;638;76674
09/05/2020;188;76862
10/05/2020;137;76999
11/05/2020;672;77671
12/05/2020;635;78306
13/05/2020;661;78967
14/05/2020;716;79683
15/05/2020;425;80108
16/05/2020;109;80217
17/05/2020;134;80351
18/05/2020;517;80868
19/05/2020;581;81449
20/05/2020;632;82081
21/05/2020;452;82533
22/05/2020;562;83095
23/05/2020;168;83263
24/05/2020;109;83372
25/05/2020;411;83783
26/05/2020;632;84415
27/05/2020;602;85017
28/05/2020;588;85605
29/05/2020;571;86176
30/05/2020;204;86380
31/05/2020;160;86540
01/06/2020;466;87006
02/06/2020;614;87620
03/06/2020;623;88243
04/06/2020;531;88774
05/06/2020;565;89339
06/06/2020;248;89587
07/06/2020;90;89677
08/06/2020;402;90079
09/06/2020;444;90523
10/06/2020;440;90963
11/06/2020;479;91442
12/06/2020;554;91996
13/06/2020;166;92162
14/06/2020;63;92225
15/06/2020;451;92676
16/06/2020;430;93106
17/06/2020;423;93529
18/06/2020;487;94016
19/06/2020;539;94555
20/06/2020;159;94714
21/06/2020;97;94811
22/06/2020;244;95055
23/06/2020;420;95475
24/06/2020;439;95914
25/06/2020;413;96327
26/06/2020;457;96784
27/06/2020;159;96943
28/06/2020;74;97017
29/06/2020;251;97268
30/06/2020;415;97683
01/07/2020;332;98015
02/07/2020;325;98340
03/07/2020;406;98746
04/07/2020;168;98914
05/07/2020;77;98991
06/07/2020;213;99204
07/07/2020;372;99576
08/07/2020;320;99896
09/07/2020;310;100206
10/07/2020;470;100676
11/07/2020;143;100819
12/07/2020;84;100903
13/07/2020;250;101153
14/07/2020;456;101609
15/07/2020;383;101992
16/07/2020;323;102315
17/07/2020;512;102827
18/07/2020;163;102990
19/07/2020;97;103087
20/07/2020;305;103392
21/07/2020;495;103887
22/07/2020;458;104345
23/07/2020;507;104852
24/07/2020;784;105636
25/07/2020;264;105900
26/07/2020;160;106060
27/07/2020;448;106508
28/07/2020;850;107358
29/07/2020;813;108171
30/07/2020;983;109154
31/07/2020;1401;110555
01/08/2020;416;110971
02/08/2020;238;111209
03/08/2020;725;111934
04/08/2020;1515;113449
05/08/2020;1373;114822
06/08/2020;1534;116356
07/08/2020;2108;118464
08/08/2020;633;119097
09/08/2020;397;119494
10/08/2020;923;120417
11/08/2020;2514;122931
12/08/2020;2237;125168
13/08/2020;2494;127662
14/08/2020;3356;131018
15/08/2020;935;131953
16/08/2020;537;132490
17/08/2020;1313;133803
18/08/2020;3569;137372
19/08/2020;3390;140762
20/08/2020;3262;144024
21/08/2020;4660;148684
22/08/2020;1331;150015
23/08/2020;687;150702
24/08/2020;1469;152171
25/08/2020;4224;156395
26/08/2020;3665;160060
27/08/2020;3540;163600
28/08/2020;4724;168324
29/08/2020;1202;169526
30/08/2020;980;170506
31/08/2020;1619;172125
01/09/2020;4229;176354
02/09/2020;3821;180175
03/09/2020;3777;183952
04/09/2020;5168;189120
05/09/2020;1675;190795
06/09/2020;1071;191866
07/09/2020;1893;193759
08/09/2020;4933;198692
09/09/2020;4903;203595
10/09/2020;4651;208246
11/09/2020;6254;214500
12/09/2020;2065;216565
13/09/2020;1456;218021
14/09/2020;2376;220397
15/09/2020;5998;226395
16/09/2020;5537;231932
17/09/2020;5373;237305
18/09/2020;7230;244535
19/09/2020;1759;246294
20/09/2020;1096;247390
21/09/2020;2266;249656
22/09/2020;5150;254806
23/09/2020;4724;259530
24/09/2020;4385;263915
25/09/2020;5414;269329
26/09/2020;1421;270750
27/09/2020;903;271653
28/09/2020;1788;273441
29/09/2020;4218;277659
30/09/2020;3562;281221
01/10/2020;3068;284289
02/10/2020;3783;288072
03/10/2020;966;289038
04/10/2020;464;289502
05/10/2020;2181;291683
06/10/2020;3175;294858
07/10/2020;2920;297778
08/10/2020;2799;300577
09/10/2020;2974;303551
10/10/2020;649;304200
11/10/2020;554;304754
12/10/2020;540;305294
13/10/2020;2689;307983
14/10/2020;2821;310804
15/10/2020;2587;313391
16/10/2020;2794;316185
17/10/2020;667;316852
18/10/2020;506;317358
19/10/2020;2331;319689
20/10/2020;2634;322323
21/10/2020;2459;324782
22/10/2020;2258;327040
23/10/2020;2468;329508
24/10/2020;588;330096
25/10/2020;522;330618
26/10/2020;2105;332723
27/10/2020;2252;334975
28/10/2020;2029;337004
29/10/2020;2053;339057
30/10/2020;2218;341275
31/10/2020;539;341814
01/11/2020;476;342290
02/11/2020;556;342846
03/11/2020;2112;344958
04/11/2020;2046;347004
05/11/2020;1822;348826
06/11/2020;2008;350834
07/11/2020;550;351384
08/11/2020;419;351803
09/11/2020;996;352799
10/11/2020;1738;354537
11/11/2020;1650;356187
12/11/2020;1523;357710
13/11/2020;1565;359275
14/11/2020;395;359670
15/11/2020;321;359991
16/11/2020;1231;361222
17/11/2020;1365;362587
18/11/2020;1254;363841
19/11/2020;1084;364925
20/11/2020;1191;366116
21/11/2020;307;366423
22/11/2020;194;366617
23/11/2020;1003;367620
24/11/2020;1044;368664
25/11/2020;1039;369703
26/11/2020;956;370659
27/11/2020;1122;371781
28/11/2020;294;372075
29/11/2020;172;372247
30/11/2020;945;373192
01/12/2020;1102;374294
02/12/2020;1111;375405
03/12/2020;992;376397
04/12/2020;1021;377418
05/12/2020;283;377701
06/12/2020;250;377951
07/12/2020;360;378311
08/12/2020;332;378643
09/12/2020;1323;379966
10/12/2020;1517;381483
11/12/2020;1827;383310
12/12/2020;418;383728
13/12/2020;310;384038
14/12/2020;1309;385347
15/12/2020;1535;386882
16/12/2020;1569;388451
17/12/2020;1368;389819
18/12/2020;1524;391343
19/12/2020;439;391782
20/12/2020;348;392130
21/12/2020;1486;393616
22/12/2020;1654;395270
23/12/2020;2824;398094
24/12/2020;928;399022
25/12/2020;488;399510
26/12/2020;839;400349
27/12/2020;776;401125
28/12/2020;3263;404388
29/12/2020;4123;408511
30/12/2020;4804;413315
31/12/2020;1333;414648
01/01/2021;700;415348
02/01/2021;1264;416612
03/01/2021;1096;417708
04/01/2021;4679;422387
05/01/2021;7325;429712
06/01/2021;1491;431203
07/01/2021;4607;435810
08/01/2021;6282;442092
09/01/2021;477;442569
10/01/2021;514;443083
11/01/2021;4423;447506
12/01/2021;4584;452090
13/01/2021;5498;457588
14/01/2021;5786;463374
15/01/2021;6593;469967
16/01/2021;1606;471573
17/01/2021;1222;472795
18/01/2021;5805;478600
19/01/2021;7817;486417
20/01/2021;6463;492880
21/01/2021;6005;498885
22/01/2021;7267;506152
23/01/2021;1672;507824
24/01/2021;1125;508949
25/01/2021;5630;514579
26/01/2021;6600;521179
27/01/2021;5854;527033
28/01/2021;5455;532488
29/01/2021;6012;538500
30/01/2021;1365;539865
31/01/2021;881;540746
01/02/2021;4181;544927
02/02/2021;5034;549961
03/02/2021;4327;554288
04/02/2021;3843;558131
05/02/2021;4341;562472
06/02/2021;935;563407
07/02/2021;511;563918
08/02/2021;2901;566819
09/02/2021;3426;570245
10/02/2021;2867;573112
11/02/2021;2418;575530
12/02/2021;2771;578301
13/02/2021;604;578905
14/02/2021;402;579307
15/02/2021;2115;581422
16/02/2021;2310;583732
17/02/2021;1976;585708
18/02/2021;1820;587528
19/02/2021;1945;589473
20/02/2021;453;589926
21/02/2021;378;590304
22/02/2021;1540;591844
23/02/2021;1873;593717
24/02/2021;1556;595273
25/02/2021;1352;596625
26/02/2021;1601;598226
27/02/2021;487;598713
28/02/2021;290;599003
01/03/2021;1367;600370
02/03/2021;1467;601837
03/03/2021;1438;603275
04/03/2021;1301;604576
05/03/2021;1554;606130
06/03/2021;388;606518
07/03/2021;268;606786
08/03/2021;1276;608062
09/03/2021;1512;609574
10/03/2021;1361;610935
11/03/2021;1298;612233
12/03/2021;1620;613853
13/03/2021;405;614258
14/03/2021;285;614543
15/03/2021;1342;615885
16/03/2021;1602;617487
17/03/2021;1540;619027
18/03/2021;1796;620823
19/03/2021;417;621240
20/03/2021;474;621714
21/03/2021;357;622071
22/03/2021;1624;623695
23/03/2021;1987;625682
24/03/2021;1837;627519
25/03/2021;1823;629342
26/03/2021;2066;631408
27/03/2021;619;632027
28/03/2021;423;632450
29/03/2021;1811;634261
30/03/2021;2148;636409
31/03/2021;2603;639012
01/04/2021;652;639664
02/04/2021;620;640284
03/04/2021;789;641073
04/04/2021;585;641658
05/04/2021;2248;643906
06/04/2021;2394;646300
